game_id,event_idx,period,period_time,eventType,x,y,empty_net,raw_shot_type,game_seconds,last_eventType,last_x,last_y,last_game_seconds,time_since_last_event,dist_from_last_event,shot_distance,shot_angle,shotType,is_goal,isRebound,angle_change_on_rebound,play_speed
2016020977,624,3,19:49,goal,12.0,-38.0,0,wrist,3589,shot-on-goal,37.0,27.0,3580.0,9.0,69.6419413859206,85.86617494683223,26.26663835708311,wrist,1,1,1.1730895911161987,7.737993487324512
2016020986,687,3,19:00,goal,4.0,5.0,0,wrist,3540,shot-on-goal,36.0,-20.0,3527.0,13.0,40.60788100849391,85.14693182963201,3.3664606634298013,wrist,1,1,17.30796409744409,3.123683154499531
2016021010,590,3,19:58,goal,8.0,-13.0,0,wrist,3598,hit,94.0,-33.0,3588.0,10.0,88.29496021857646,82.03657720797473,9.117862753795787,wrist,1,0,0.0,8.829496021857647
2016021021,770,3,19:34,goal,6.0,26.0,0,wrist,3574,faceoff,20.0,-22.0,3559.0,15.0,50.0,86.97700845625813,17.393322146912038,wrist,1,0,0.0,3.333333333333333
2016021050,683,3,19:26,goal,1.0,-1.0,0,wrist,3566,hit,97.0,-14.0,3557.0,9.0,96.87620966986684,88.0056816347672,0.6510603802294862,wrist,1,0,0.0,10.764023296651873
2016021060,664,3,18:57,goal,4.0,38.0,0,wrist,3537,giveaway,11.0,29.0,3485.0,52.0,11.40175425099138,93.1074647920348,24.08745230863229,wrist,1,0,0.0,0.2192645048267573
2016021070,661,3,19:09,goal,18.0,38.0,0,backhand,3549,blocked-shot,73.0,-3.0,3540.0,9.0,68.60029154456998,80.52949770115296,28.156191448272576,backhand,1,1,17.536536172117444,7.622254616063332
2016021085,586,3,19:12,goal,3.0,28.0,0,wrist,3552,faceoff,69.0,-22.0,3531.0,21.0,82.80096617793781,90.44335243676012,18.034285567129857,wrist,1,0,0.0,3.942903151330372
2016021116,627,3,18:52,goal,16.0,39.0,0,wrist,3532,giveaway,95.0,0.0,3501.0,31.0,88.10221336606703,82.76472678623425,28.11320887605596,wrist,1,0,0.0,2.842006882776356
2016021175,456,3,04:21,goal,1.0,0.0,0,wrist,2661,blocked-shot,62.0,8.0,2649.0,12.0,61.5223536610881,88.0,0.0,wrist,1,1,16.504361381755018,5.126862805090675
